Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Type,PrcntRedArea,AnnTemp,AnnTime,AnnAtm,AnnCoolRate,AppMagField,ReannTemp,ReannTime,ReannTime,ReannCoolRate,AppMagField,Phase,GrainSize,Ms,Hc,Tc,MuMax,ER,TS,YS,Elong,HV,Cost
65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,973,1890,11.74,,,,,12.16
64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,974,1957,11.07,,,,,12.48
63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,975,2027,10.49,,,,,12.81
62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,975,2101,9.92,,,,,13.14
61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,975,2183,9.37,,,,,13.47
60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,975,2273,8.91,,,,,13.79
59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,974,2375,8.5,,,,,14.12
58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,973,2498,8.07,,,,,14.45
57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,973,2625,7.64,,,,,14.77
56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.45,,972,2800,7.26,,,,,15.1
55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.45,,970,2956,6.93,,,,,15.43
54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.44,,969,3128,6.67,,,,,15.75
53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.44,,967,3346,6.44,,,,,16.08
52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.43,,965,3624,6.23,,,,,16.4
51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.42,,964,3882,6.03,,,,,16.72
